titlemeta_ID;titlemeta_author;titlemeta_title;bestseller_author;bestseller_title;bestseller_year;ratio_author;ratio_title
uc2.ark+=13960=t6xw49546;Churchill, Winston, Sir;Mr. Crewe's career;Churchill, Winston;Mr. Crewe's Career;1908;88;100
uc2.ark+=13960=t5gb1zq7q;Dixon, Thomas;The one woman;Dixon, Thomas Jr.;The One Woman;1903;87;100
uc2.ark+=13960=t79s1mz76;Wiggin, Kate Douglas Smith;Rebecca of Sunnybrook farm;Wiggin, Kate Douglas;Rebecca of Sunnybrook Farm;1904;87;100
uc2.ark+=13960=t9q23sh58;Vance, Louis Joseph;The brass bowl;Vance, Louis J.;The Brass Bowl;1907;82;100
uc2.ark+=13960=fk4th8bt3z;Bacheller, Irving Addison;A man for the ages;Bacheller, Irving;A Man for the Ages;1920;81;100
uc1.$b105882;West, Rebecca, Dame;The thinking reed;West, Rebecca;The Thinking Reed;1936;81;100
uc2.ark+=13960=t4sj1bv84;Rice, Alice Caldwell Hegan;Lovey Mary;Rice, Alice Hegan;Lovey Mary;1903;79;100
uc2.ark+=13960=t9c53gj4f;Rice, Alice Caldwell Hegan;Sandy;Rice, Alice Hegan;Sandy;1905;79;100
uc1.b3687211;Bromfield, Louis;The strange case of Miss Annie Spragg.;Bromfield, Louis;The Strange Case of Miss Annie Spragg;1928;100;99
mdp.39015030850682;Breslin, Jimmy;The gang that couldn't shoot straight.;Breslin, Jimmy;The Gang That Couldn't Shoot Straight;1970;100;99
uc2.ark+=13960=t5r786w50;Deland, Margaret;The awakening of Helena Richie;Deland, Margaret;The Awakening of Helena Ritchie;1906;100;98
uc2.ark+=13960=t6tx36f8h;Wright, Harold Bell;The winning of Barbara Wort;Wright, Harold Bell;The Winning of Barbara Worth;1911;100;98
uc2.ark+=13960=t6tx36f8h;Wright, Harold Bell;The winning of Barbara Wort;Wright, Harold Bell;The Winning of Barbara Worth;1912;100;98
mdp.39015000604101;Werfel, Franz;Forty days of Musa dagh.;Werfel, Franz;The Forty Days of Musa Dagh;1935;100;98
mdp.39015066076368;Hemingway, Ernest;For whom the bell toll;Hemingway, Ernest;For Whom the Bell Tolls;1940;100;98
mdp.39015066076368;Hemingway, Ernest;For whom the bell toll;Hemingway, Ernest;For Whom the Bell Tolls;1941;100;98
mdp.39015016708177;Llewellyn, Richard;How green was my valley.;Llewellyn, Richard;How Green Was My Valley;1940;100;98
uc1.$b87076;Caldwell, Taylor;This side of innocence.;Caldwell, Taylor;This Side of Innocence;1946;100;98
