titlemeta_ID;titlemeta_author;titlemeta_title;bestseller_author;bestseller_title;bestseller_year;ratio_author;ratio_title
mdp.39015031779963;Hyman, Mac;No time for sergeants  ;Hyman, Mac;No Time for Sergeants;1954;100;95
mdp.39015031779963;Hyman, Mac;No time for sergeants  ;Hyman, Mac;No Time for Sergeants;1955;100;95
uc1.b3710830;Keyes, Frances Parkinson;The royal box.;Keyes, Frances Parkinson;The Royal Box;1954;100;95
mdp.39015000594930;O'Hara, John;Ten North Frederick  ;O'Hara, John;Ten North Frederick;1955;100;95
mdp.39015002385675;Levin, Meyer;Compulsion.;Levin, Meyer;Compulsion;1957;100;95
inu.32000002906503;Du Maurier, Daphne;The scapegoat.;du Maurier, Daphne;The Scapegoat;1957;100;95
mdp.39015009207724;Shulman, Max;Rally around the flag, boys.;Shulman, Max;Rally Round the Flag, Boys!;1957;100;95
uc1.$b102097;Keyes, Frances Parkinson;Victorine.;Keyes, Frances Parkinson;Victorine;1958;100;95
mdp.39015013121127;Drury, Allen;Advise and consent. ;Drury, Allen;Advise and Consent;1959;100;95
mdp.39015013121127;Drury, Allen;Advise and consent. ;Drury, Allen;Advise and Consent;1960;100;95
mdp.39015011571653;Auchincloss, Louis;The embezzler.;Auchincloss, Louis;The Embezzler;1966;100;95
mdp.39015043198871;Du Maurier, Daphne;The house on the strand  ;du Maurier, Daphne;The House on the Strand;1969;100;95
mdp.39015007021986;Shaw, Irwin;Rich man, poor man  ;Shaw, Irwin;Rich Man, Poor Man;1970;100;95
mdp.39015008850250;Segal, Erich;Love story.;Segal, Erich;Love Story;1970;100;95
uc1.b4451024;Jenkins, Dan;Semi-tough.;Jenkins, Dan;Semi-Tough;1972;100;95
mdp.39015046381375;Susann, Jacqueline;Once is not enough  ;Susann, Jacqueline;Once Is Not Enough;1973;100;95
uc1.32106009087138;Herbert, Frank;God Emperor of Dune  ;Herbert, Frank;God Emperor of Dune;1981;100;95
mdp.39015013970788;Irving, John;The Hotel New Hampshire  ;Irving, John;The Hotel New Hampshire;1981;100;95
mdp.49015002573658;McCullough, Colleen;An indecent obsession  ;McCullough, Colleen;An Indecent Obsession;1981;100;95
pst.000051139704;Sheldon, Sidney;Windmills of the gods  ;Sheldon, Sidney;Windmills of the Gods;1987;100;95
mdp.39015050822546;Krantz, Judith;Till we meet again  ;Krantz, Judith;Till We Meet Again;1988;100;95
uc1.32106015865600;Rice, Anne;The queen of the damned  ;Rice, Anne;The Queen of the Damned;1988;100;95
pst.000051406523;Follett, Ken;The pillars of the earth  ;Follett, Ken;The Pillars of the Earth;1989;100;95
mdp.49015000870908;King, Stephen;Four past midnight  ;King, Stephen;Four Past Midnight;1990;100;95
mdp.39015046353481;Tan, Amy;The kitchen god's wife  ;Tan, Amy;The Kitchen God's Wife;1991;100;95
mdp.39015032592712;Bradford, Barbara Taylor;Everything to gain  ;Bradford, Barbara Taylor;Everything to Gain;1994;100;95
mdp.39015032715487;Sheldon, Sidney;Nothing lasts forever  ;Sheldon, Sidney;Nothing Lasts Forever;1994;100;95
mdp.39015037824920;Mitchard, Jacquelyn;The deep end of the ocean  ;Mitchard, Jacquelyn;The Deep End of the Ocean;1996;100;95
mdp.39015040575493;Ludlum, Robert;The Matarese countdown  ;Ludlum, Robert;The Matarese Countdown;1997;100;95
mdp.39015045693713;Clark, Mary Higgins;All through the night  ;Clark, Mary Higgins;All Through the Night;1998;100;95
mdp.39015047449866;Steel, Danielle;Irresistible forces  ;Steel, Danielle;Irresistible Forces;1999;100;95
mdp.39015047521110;Le Carré, John;The honourable schoolboy  ;Le Carre, John;The Honourable Schoolboy;1977;93;95
uc1.b4374271;Churchill, Winston, Sir;A modern chronicle. ;Churchill, Winston;A Modern Chronicle;1910;88;95
nyp.33433074812219;Churchill, Winston, Sir;Mr. Crewe's career, ;Churchill, Winston;Mr. Crewe's Career;1908;88;95
pst.000019745510;Peterkin, Julia Mood;Scarlet sister Mary  ;Peterkin, Julia;Scarlet Sister Mary;1929;86;95
mdp.39015063549037;Fox, John;The heart of the hills, ;Fox, John Jr.;Heart of the Hills;1913;82;95
mdp.39015034414261;Cornwell, Patricia Daniels;From Potter's field  ;Cornwell, Patricia;From Potter's Field;1995;82;95
mdp.39015041541072;Cornwell, Patricia Daniels;Unnatural exposure  ;Cornwell, Patricia;Unnatural Exposure;1997;82;95
nyp.33433076023989;Norris, Kathleen Thompson;Harriet and the piper, ;Norris, Kathleen;Harriet and the Piper;1920;78;95
mdp.39015002751025;Ruark, Robert Chester;Something of value. ;Ruark, Robert;Something of Value;1955;76;95
mdp.39015063927910;Runkle, Bertha;"The helmet of Navarre; ";Runkle, Bertha;The Helmet of Navarre;1901;100;94
mdp.49015002772011;Hichens, Robert;The garden of Allah, ;Hichens, Robert;The Garden of Allah;1905;100;94
nyp.33433076048002;Rives, Hallie Erminie;Satan Sanderson, ;Rives, Hallie Erminie;Satan Sanderson;1907;100;94
nyp.33433074876248;MacGrath, Harold;The lure of the mask. ;MacGrath, Harold;The Lure of the Mask;1908;100;94
nyp.33433074841747;Daviess, Maria Thompson;The melting of Molly. ;Daviess, Maria Thompson;The Melting of Molly;1912;100;94
nyp.33433074797394;Wright, Harold Bell;Their yesterdays  ;Wright, Harold Bell;Their Yesterdays;1912;100;94
mdp.39015063550175;Harrison, Henry Sydnor;Angela's business, ;Harrison, Henry Sydnor;Angela's Business;1915;100;94
mdp.39015002753518;Sabatini, Rafael;The sea-hawk,;Sabatini, Rafael;The Sea-Hawk;1923;100;94
uc1.32106002112446;Grey, Zane;Wildfire.;Grey, Zane;Wildfire;1917;100;94
nyp.33433076079080;Wharton, Edith;The age of innocence, ;Wharton, Edith;The Age of Innocence;1921;100;94
uc1.b3834680;Deeping, Warwick;Sorrell and son, ;Deeping, Warwick;Sorrell and Son;1926;100;94
uc1.b3834680;Deeping, Warwick;Sorrell and son, ;Deeping, Warwick;Sorrell and Son;1927;100;94
mdp.39015031235727;Heyward, DuBose;Mamba's daughters  ;Heyward, DuBose;Mamba's Daughters;1929;100;94
mdp.39015030851060;Bromfield, Louis;Twenty-four hours, ;Bromfield, Louis;Twenty-Four Hours;1930;100;94
mdp.39015029924084;Wilder, Thornton;The woman of Andros, ;Wilder, Thornton;The Woman of Andros;1930;100;94
mdp.39015003681304;Galsworthy, John;Maid in waiting, ;Galsworthy, John;Maid in Waiting;1931;100;94
mdp.39015030728516;Cather, Willa;Shadows on the ro;Cather, Willa;Shadows on the Rock;1931;100;94
mdp.39015031230819;Deeping, Warwick;The bridge of desire, ;Deeping, Warwick;The Bridge of Desire;1931;100;94
mdp.39015031231221;Deeping, Warwick;Old wine and new, ;Deeping, Warwick;Old Wine and New;1932;100;94
mdp.39015053592385;Morgan, Charles;The fountain ;Morgan, Charles;The Fountain;1932;100;94
uc1.$b348168;Allen, Hervey;Anthony Adverse  ;Allen, Hervey;Anthony Adverse;1933;100;94
uc1.$b348168;Allen, Hervey;Anthony Adverse  ;Allen, Hervey;Anthony Adverse;1934;100;94
mdp.39015051112673;Young, Stark;So red the rose  ;Young, Stark;So Red the Rose;1934;100;94
mdp.39015003341842;Field, Rachel;Time out of mind, ;Field, Rachel;Time Out of Mind;1935;100;94
pst.000005375714;Huxley, Aldous;Eyeless in Gaza  ;Huxley, Aldous;Eyeless in Gaza;1936;100;94
uc1.$b56291;Allen, Hervey;Action at Aquila  ;Allen, Hervey;Action at Aquila;1938;100;94
pst.000029131198;Field, Rachel;All this and heaven too  ;Field, Rachel;All This, and Heaven Too;1938;100;94
pst.000029131198;Field, Rachel;All this and heaven too  ;Field, Rachel;All This, and Heaven Too;1939;100;94
uc1.$b57138;Page, Elizabeth;The tree of liberty, ;Page, Elizabeth;The Tree of Liberty;1939;100;94
mdp.39015030851110;Bromfield, Louis;Night in Bombay, ;Bromfield, Louis;Night in Bombay;1940;100;94
pst.000002027432;Field, Rachel;And now tomorrow  ;Field, Rachel;And Now Tomorrow;1942;100;94
mdp.39015030851136;Bromfield, Louis;Mrs. Parkington  ;Bromfield, Louis;Mrs. Parkington;1943;100;94
mdp.39015048732443;De la Roche, Mazo;The master of Jalna, ;de la Roche, Mazo;The Master of Jalna;1933;100;94
mdp.39015030113016;Yerby, Frank;The foxes of Harrow  ;Yerby, Frank;The Foxes of Harrow;1946;100;94
mdp.39015066057715;Lewis, Sinclair;Kingsblood royal  ;Lewis, Sinclair;Kingsblood Royal;1947;100;94
pst.000032352818;Robinson, Henry Morton;The cardinal.;Robinson, Henry Morton;The Cardinal;1950;100;94
pst.000032352818;Robinson, Henry Morton;The cardinal.;Robinson, Henry Morton;The Cardinal;1951;100;94
mdp.49015001330217;Stone, Irving;Love is eternal. ;Stone, Irving;Love Is Eternal;1954;100;94
inu.30000114449469;O'Hara, John;Ourselves to know  ;O'Hara, John;Ourselves To Know;1960;100;94
inu.30000123932489;O'Connor, Edwin;The edge of sadness  ;O'Connor, Edwin;The Edge of Sadness;1961;100;94
mdp.39015011909549;Auchincloss, Louis;The rector of Justin  ;Auchincloss, Louis;The Rector of Justin;1964;100;94
uc1.b3462115;Knebel, Fletcher;Vanished.;Knebel, Fletcher;Vanished;1968;100;94
pst.000007426209;Holmes, Marjorie;Two from Galilee  ;Holmes, Marjorie;Two from Galilee;1972;100;94
mdp.39015008295845;Greene, Graham;The honorary consul  ;Greene, Graham;The Honorary Consul;1973;100;94
mdp.39015001817553;Bellow, Saul;Humboldt's gift  ;Bellow, Saul;Humboldt's Gift;1975;100;94
mdp.39015027237067;Stewart, Mary;Touch not the cat  ;Stewart, Mary;Touch Not the Cat;1976;100;94
mdp.39076001210744;Shaw, Irwin;Beggarman, thief  ;Shaw, Irwin;Beggarman, Thief;1977;100;94
mdp.39015010699794;Fast, Howard;Second generation  ;Fast, Howard;Second Generation;1978;100;94
uc1.32106006152380;Styron, William;Sophie's choice  ;Styron, William;Sophie's Choice;1979;100;94
mdp.39015040127014;Stewart, Mary;The last enchantment  ;Stewart, Mary;The Last Enchantment;1979;100;94
pst.000018061024;Caldwell, Taylor;Answer as a man  ;Caldwell, Taylor;Answer as a Man;1980;100;94
mdp.39015007068235;Asimov, Isaac;Foundation's edge  ;Asimov, Isaac;Foundation's Edge;1982;100;94
mdp.39015035336281;King, Stephen;Different seasons  ;King, Stephen;Different Seasons;1982;100;94
mdp.39015058732960;Collins, Jackie;Hollywood wives  ;Collins, Jackie;Hollywood Wives;1983;100;94
wu.89085145860;Eco, Umberto;The name of the rose  ;Eco, Umberto;The Name of the Rose;1983;100;94
mdp.39015047868867;Keillor, Garrison;Lake Wobegon days  ;Keillor, Garrison;Lake Wobegon Days;1985;100;94
mdp.39015063095692;Archer, Jeffrey;A matter of honor  ;Archer, Jeffrey;A Matter of Honor;1986;100;94
uc1.32106008671106;Jakes, John;California gold  ;Jakes, John;California Gold;1989;100;94
mdp.49015002943570;Clancy, Tom;The sum of all fears  ;Clancy, Tom;The Sum of All Fears;1991;100;94
mdp.39015066054928;McMillan, Terry;Waiting to exhale  ;McMillan, Terry;Waiting to Exhale;1992;100;94
mdp.49015002827708;Steel, Danielle;Mixed blessings  ;Steel, Danielle;Mixed Blessings;1992;100;94
mdp.39015034912363;Evans, Nicholas;The horse whisperer  ;Evans, Nicholas;The Horse Whisperer;1995;100;94
pst.000043933501;Miller, Henry;Tropic of Cancer  ;Miller, Henry;Tropic of Cancer;1961;100;94
mdp.39015046386523;Clancy, Tom;Executive orders  ;Clancy, Tom;Executive Orders;1996;100;94
mdp.39015041359921;Steel, Danielle;Special delivery  ;Steel, Danielle;Special Delivery;1997;100;94
mdp.39015040365705;Clark, Mary Higgins;You belong to me  ;Clark, Mary Higgins;You Belong to Me;1998;100;94
mdp.39015056848560;Levin, Ira;Rosemary's baby  ;Levin, Ira;Rosemary's Baby;1967;100;94
pst.000065617298;Grey, Zane;To the last man  ;Grey, Zane;To the Last Man;1922;100;94
uc1.b3473687;Hailey, Arthur;Strong medicine  ;Haley, Arthur;Strong Medicine;1984;96;94
mdp.39015052395905;Auel, Jean M;The mammoth hunters  ;Auel, Jean M.;The Mammoth Hunters;1985;96;94
mdp.39015056245577;Auel, Jean M;The plains of passage  ;Auel, Jean M.;The Plains of Passage;1990;96;94
mdp.39015063552882;Farnol, Jeffery;The amateur gentleman, ;Farnol, Jeffrey;The Amateur Gentleman;1913;93;94
mdp.39015051828823;Le Carré, John;Smiley's people  ;Le Carre, John;Smiley's People;1979;93;94
uva.x004619705;Hémon, Louis;Maria Chapdelaine  ;Hemon, Louis;Maria Chapdelaine;1922;92;94
pst.000043529889;Hémon, Louis;Maria Chapdelaine  ;Hemon, Louis;Maria Chapdelaine;1922;92;94
uiug.30112039914905;Elizabeth;The enchanted April  ;"""Elizabeth""";The Enchanted April;1923;90;94
mdp.39015063938933;Locke, William John;Simon the jester  ;Locke, William J.;Simon the Jester;1910;89;94
nyp.33433074879481;Locke, William John;The fortunate youth, ;Locke, William J.;The Fortunate Youth;1914;89;94
uc1.b3865729;Churchill, Winston, Sir;The crossing.;Churchill, Winston;The Crossing;1904;88;94
pst.000022671783;Lockridge, Ross;Raintree County  ;Lockridge, Ross Jr.;Raintree County;1948;88;94
mdp.39015063958998;Wiggin, Kate Douglas Smith;Rose o' the river, ;Wiggin, Kate Douglas;Rose o' the River;1905;87;94
uva.x000467514;Dixon, Thomas;"The clansman;";Dixon, Thomas Jr.;The Clansman;1905;87;94
mdp.39015007028577;Roberts, Kenneth Lewis;Northwest passage, ;Roberts, Kenneth;Northwest Passage;1937;84;94
mdp.39015007028577;Roberts, Kenneth Lewis;Northwest passage, ;Roberts, Kenneth;Northwest Passage;1938;84;94
mdp.39015047111656;Cornwell, Patricia Daniels;Point of origin  ;Cornwell, Patricia;Point of Origin;1998;82;94
pst.000022269416;Miller, Caroline Pafford;Lamb in his bosom  ;Miller, Caroline;Lamb in His Bosom;1934;80;94
uc1.b3710785;Norris, Kathleen Thompson;The heart of Rachael, ;Norris, Kathleen;The Heart of Rachael;1916;78;94
uc1.b3727429;White, Stewart Edward;The silent places  ;White, Stewart Edward;The Silent Places;1904;100;93
uc1.32106002154331;Wharton, Edith;The house of mirth, ;Wharton, Edith;The House of Mirth;1905;100;93
uc1.32106002154331;Wharton, Edith;The house of mirth, ;Wharton, Edith;The House of Mirth;1906;100;93
mdp.39015063923869;Hough, Emerson;54-40 or fight, ;Hough, Emerson;54-40 or Fight;1909;100;93
uc2.ark+=13960=t7kp7v701;Lane, Elinor Macartney;"Katrine;";Lane, Elinor Macartney;Katrine;1909;100;93
nyp.33433075756498;Sinclair, May;The tree of heaven, ;Sinclair, May;The Tree of Heaven;1918;100;93
mdp.39015063950037;Rinehart, Mary Roberts;Dangerous days  ;Rinehart, Mary Roberts;Dangerous Days;1919;100;93
inu.32000002843417;Tarkington, Booth;The turmoil.;Tarkington, Booth;The Turmoil;1915;100;93
mdp.39015005659381;Kennedy, Margaret;The constant nymph, ;Kennedy, Margaret;The Constant Nymph;1925;100;93
uc1.b3834423;Galsworthy, John;One more river, ;Galsworthy, John;One More River;1933;100;93
uc1.32106007991901;Du Maurier, Daphne;Rebecca.;du Maurier, Daphne;Rebecca;1938;100;93
uc1.32106007991901;Du Maurier, Daphne;Rebecca.;du Maurier, Daphne;Rebecca;1939;100;93
mdp.39015000625262;Knight, Eric;This above all, ;Knight, Eric;This Above All;1941;100;93
inu.32000009149842;Hilton, James;Random harvest  ;Hilton, James;Random Harvest;1941;100;93
mdp.39015014776887;Du Maurier, Daphne;The King's general  ;du Maurier, Daphne;The King's General;1946;100;93
uc1.b3295180;Smith, Betty;Tomorrow will be bet;Smith, Betty;Tomorrow Will Be Better;1948;100;93
mdp.39015000551153;O'Hara, John;A rage to live  ;O'Hara, John;A Rage to Live;1949;100;93
uc1.32106002184684;Rechy, John;City of night  ;Rechy, John;City of Night;1963;100;93
mdp.39015048745395;Marshall, Catherine;Christy ;Marshall, Catherine;Christy;1967;100;93
mdp.39015048745395;Marshall, Catherine;Christy ;Marshall, Catherine;Christy;1968;100;93
uc1.32106002151097;Updike, John;Couples.;Updike, John;Couples;1968;100;93
uc1.32106005853186;Potok, Chaim;The promise.;Potok, Chaim;The Promise;1969;100;93
uc1.32106006269002;Potok, Chaim;My name is Asher Lev. -;Potok, Chaim;My Name Is Asher Lev;1972;100;93
mdp.39015020747013;Vonnegut, Kurt;Slapstick :  or, Lonesome no more  ;Vonnegut, Kurt;Slapstick: or, Lonesome No More!;1976;100;93
uc1.b4410359;Fowles, John;Daniel Martin  ;Fowles, John;Daniel Martin;1977;100;93
mdp.39015046449768;Krantz, Judith;Princess Daisy  ;Krantz, Judith;Princess Daisy;1980;100;93
mdp.39015046831189;Asimov, Isaac;The robots of dawn  ;Asimov, Isaac;The Robots of Dawn;1983;100;93
uc1.b4384858;L'Amour, Louis;The lonesome gods  ;L'Amour, Louis;The Lonesome Gods;1983;100;93
uc1.32106007992271;King, Stephen;Skeleton crew  ;King, Stephen;Skeleton Crew;1985;100;93
uc1.32106010438106;King, Stephen;The tommyknockers  ;King, Stephen;The Tommyknockers;1987;100;93
mdp.39015054423457;Rushdie, Salman;The satanic verses  ;Rushdie, Salman;The Satanic Verses;1989;100;93
mdp.39015029244657;Grisham, John;The pelican brief  ;Grisham, John;The Pelican Brief;1992;100;93
mdp.39015058014633;Rand, Ayn;Atlas shrugged  ;Rand, Ayn;Atlas Shrugged;1957;100;93
mdp.39015037305821;Evans, Richard Paul;The Christmas box  ;Evans, Richard Paul;The Christmas Box;1995;100;93
mdp.39015035331548;Clancy, Tom;Debt of honor  ;Clancy, Tom;Debt of Honor;1994;100;93
mdp.39015038531136;Clark, Mary Higgins;My gal Sunday  ;Clark, Mary Higgins;My Gal Sunday;1996;100;93
mdp.39015054038578;Frazier, Charles;Cold mountain  ;Frazier, Charles;Cold Mountain;1997;100;93
mdp.39015054024453;Grisham, John;The street lawyer  ;Grisham, John;The Street Lawyer;1998;100;93
mdp.39015040365788;Steel, Danielle;The long road home  ;Steel, Danielle;The Long Road Home;1998;100;93
mdp.39015039049385;Rice, Anne;The vampire Armand  ;Rice, Anne;The Vampire Armand;1998;100;93
mdp.39015058729354;Lindbergh, Anne Morrow;Dearly beloved  ;Lindbergh, Anne Morrow;Dearly Beloved;1962;100;93
mdp.39015011414011;Farnol, Jeffery;The broad highway, ;Farnol, Jeffrey;The Broad Highway;1911;93;93
uc1.32106018253754;Le Carré, John;A perfect spy  ;Le Carre, John;A Perfect Spy;1986;93;93
uc1.b3962029;Churchill, Winston, Sir;Richard Carvel, ;Churchill, Winston;Richard Carvel;1900;88;93
wu.89099773699;Churchill, Winston, Sir;A far country, ;Churchill, Winston;A Far Country;1915;88;93
mdp.39015002200320;Tomasi di Lampedusa, Giuseppe;The leopard ;di Lampedusa, Giuseppe;The Leopard;1960;86;93
uc1.b3687674;Edmonds, Walter Dumaux;Drums along the Moh;Edmonds, Walter D.;Drums Along the Mohawk;1936;85;93
uc1.b3687674;Edmonds, Walter Dumaux;Drums along the Moh;Edmonds, Walter D.;Drums Along the Mohawk;1937;85;93
mdp.39076006275957;Roberts, Kenneth Lewis;Oliver Wiswell  ;Roberts, Kenneth;Oliver Wiswell;1940;84;93
mdp.39076006275957;Roberts, Kenneth Lewis;Oliver Wiswell  ;Roberts, Kenneth;Oliver Wiswell;1941;84;93
mdp.39015037806141;Cornwell, Patricia Daniels;Cause of death  ;Cornwell, Patricia;Cause of Death;1996;82;93
mdp.39015038582691;Cornwell, Patricia Daniels;Hornet's nest  ;Cornwell, Patricia;Hornet's Nest;1997;82;93
mdp.39015049691218;Smith, Lillian Eugenia;Strange fruit, ;Smith, Lillian;Strange Fruit;1944;78;93
nyp.33433082272703;Cholmondeley, Mary;Red pottage, ;Cholmondeley, Mary;Red Pottage;1900;100;92
nyp.33433076041544;Van Dyke, Henry;The blue flower  ;van Dyke, Henry;The Blue Flower;1902;100;92
mdp.39015063946241;Page, Thomas Nelson;Gordon Keith, ;Page, Thomas Nelson;Gordon Keith;1903;100;92
uc1.b3325502;McCutcheon, George Barr;Truxton King  ;McCutcheon, George Barr;Truxton King;1909;100;92
nyp.33433082485933;Bailey, Temple;The tin soldier  ;Bailey, Temple;The Tin Soldier;1919;100;92
mdp.39015063926870;Tarkington, Booth;Gentle Julia  ;Tarkington, Booth;Gentle Julia;1922;100;92
mdp.39015002717943;Rinehart, Mary Roberts;The breaking poi;Rinehart, Mary Roberts;The Breaking Point;1922;100;92
mdp.39015002717943;Rinehart, Mary Roberts;The breaking poi;Rinehart, Mary Roberts;The Breaking Point;1923;100;92
mdp.39015005366441;Marks, Percy;The plastic age, ;Marks, Percy;The Plastic Age;1924;100;92
uc1.b4097394;Ferber, Edna;So big.;Ferber, Edna;So Big;1924;100;92
mdp.39015003681775;Galsworthy, John;The silver spoon, ;Galsworthy, John;The Silver Spoon;1926;100;92
mdp.39015061866300;Bailey, Temple;The blue window  ;Bailey, Temple;The Blue Window;1926;100;92
uc1.$b244910;Sedgwick, Anne Douglas;The old countess, ;Sedgwick, Anne Douglas;The Old Countess;1927;100;92
uc1.$b322854;Bromfield, Louis;A good woman, ;Bromfield, Louis;A Good Woman;1927;100;92
mdp.39015008361134;Lewis, Sinclair;Elmer Gantry, ;Lewis, Sinclair;Elmer Gantry;1927;100;92
mdp.39015008251194;Wilder, Thornton;The bridge of San Luis Rey... ;Wilder, Thornton;The Bridge of San Luis Rey;1928;100;92
mdp.39015000540586;Parrish, Anne;All kneeling, ;Parrish, Anne;All Kneeling;1928;100;92
uc1.$b244894;Sedgwick, Anne Douglas;Dark Hester, ;Sedgwick, Anne Douglas;Dark Hester;1929;100;92
mdp.39015013000289;Deeping, Warwick;Roper's row, ;Deeping, Warwick;Roper's Row;1929;100;92
uc1.$b74556;Baum, Vicki;"Grand hotel; ";Baum, Vicki;Grand Hotel;1931;100;92
uc1.$b245130;Tarkington, Booth;Mary's Neck, ;Tarkington, Booth;Mary's Neck;1932;100;92
mdp.39015000636095;Lewis, Sinclair;Ann Vickers  ;Lewis, Sinclair;Ann Vickers;1933;100;92
mdp.39015030727955;Chase, Mary Ellen;Mary Peters, ;Chase, Mary Ellen;Mary Peters;1934;100;92
mdp.39015003347161;Fedorova, Nina;The family ;Fedorova, Nina;The Family;1940;100;92
mdp.39015028547191;Struther, Jan;Mrs. Miniver, ;Struther, Jan;Mrs. Miniver;1940;100;92
mdp.39015024078803;Saroyan, William;The human comedy, ;Saroyan, William;The Human Comedy;1943;100;92
mdp.39015013934230;Steinbeck, John;The wayward bus  ;Steinbeck, John;The Wayward Bus;1947;100;92
pst.000032467321;Schulberg, Budd;The disenchanted  ;Schulberg, Budd;The Disenchanted;1950;100;92
mdp.39015058013270;Steinbeck, John;East of Eden  ;Steinbeck, John;East of Eden;1952;100;92
mdp.39015014862448;Yerby, Frank;Benton's Row  ;Yerby, Frank;Benton's Row;1954;100;92
inu.30000035415862;Metalious, Grace;Peyton Place  ;Metalious, Grace;Peyton Place;1956;100;92
inu.30000035415862;Metalious, Grace;Peyton Place  ;Metalious, Grace;Peyton Place;1957;100;92
mdp.39015015203519;O'Connor, Edwin;The last hurrah  ;O'Connor, Edwin;The Last Hurrah;1956;100;92
uc1.b3435081;Uris, Leon;Exodus.;Uris, Leon;Exodus;1959;100;92
mdp.39015002206376;Bellow, Saul;Herzog.;Bellow, Saul;Herzog;1964;100;92
mdp.39015002206376;Bellow, Saul;Herzog.;Bellow, Saul;Herzog;1965;100;92
mdp.39015063159456;Potok, Chaim;The chosen.;Potok, Chaim;The Chosen;1967;100;92
uc1.32106009338523;Updike, John;Rabbit redux  ;Updike, John;Rabbit Redux;1971;100;92
pst.000007426414;Hailey, Arthur;Wheels.;Hailey, Arthur;Wheels;1971;100;92
mdp.39015043787996;Forsyth, Frederick;The Odessa file  ;Forsyth, Frederick;The Odessa File;1972;100;92
mdp.39015043787996;Forsyth, Frederick;The Odessa file  ;Forsyth, Frederick;The Odessa File;1973;100;92
mdp.39015020723501;McCullough, Colleen;The thorn birds  ;McCullough, Colleen;The Thorn Birds;1977;100;92
mdp.39015031606463;Greene, Graham;The human factor  ;Greene, Graham;The Human Factor;1978;100;92
mdp.39015020693878;Heller, Joseph;Good as Gold  ;Heller, Joseph;Good as Gold;1979;100;92
pst.000032233711;L'Amour, Louis;The walking drum  ;L'Amour, Louis;The Walking Drum;1984;100;92
mdp.39015032715149;Francis, Dick;Wild horses  ;Francis, Dick;Wild Horses;1994;100;92
mdp.39015046410182;King, Stephen;Rose Madder  ;King, Stephen;Rose Madder;1995;100;92
mdp.39015034418932;Conroy, Pat;Beach music  ;Conroy, Pat;Beach Music;1995;100;92
mdp.39015038148048;King, Stephen;Desperation  ;King, Stephen;Desperation;1996;100;92
mdp.49015002950823;Steel, Danielle;Silent honor  ;Steel, Danielle;Silent Honor;1996;100;92
mdp.39015043798936;King, Stephen;Bag of bones  ;King, Stephen;Bag of Bones;1998;100;92
mdp.39015057947536;Clancy, Tom;Rainbow Six  ;Clancy, Tom;Rainbow Six;1998;100;92
mdp.39015045628396;Steel, Danielle;Mirror image  ;Steel, Danielle;Mirror Image;1998;100;92
mdp.39015063517422;Burnett, Frances (Hodgson);T. Tembarom  ;Burnett, Frances Hodgson;T. Tembarom;1913;96;92
mdp.39015063517422;Burnett, Frances (Hodgson);T. Tembarom  ;Burnett, Frances Hodgson;T. Tembarom;1914;96;92
mdp.39015004859578;Shaw, Irwin;The young lions  ;Shaw,Irwin;The Young Lions;1948;95;92
mdp.39015066047898;Nin, Anaïs;Delta of Venus :  erotica  ;Nin, Anais;Delta of Venus: Erotica;1977;90;92
nyp.33433076026198;Smith, Francis Hopkinson;Felix O'Day, ;Smith, F. Hopkinson;Felix O'Day;1915;84;92
uc1.$b245177;Walpole, Hugh, Sir;Wintersmoon, ;Walpole, Hugh;Wintersmoon;1928;84;92
mdp.39015002718461;Roberts, Kenneth Lewis;Lydia Bailey, ;Roberts, Kenneth;Lydia Bailey;1947;84;92
mdp.39015048765013;Cornwell, Patricia Daniels;Black notice  ;Cornwell, Patricia;Black Notice;1999;82;92
uc2.ark+=13960=t2697103t;Bacheller, Irving Addison;The light in the clear;Bacheller, Irving;The Light in the Clearing;1917;81;92
mdp.39015031223848;Bentley, Phyllis Eleanor;Inheritance, ;Bentley, Phyllis;Inheritance;1932;80;92
nyp.33433076081052;McCutcheon, George Barr;Jane Cable, ;McCutcheon, George Barr;Jane Cable;1906;100;91
mdp.39015063920121;Johnston, Mary;Lewis Rand  ;Johnston, Mary;Lewis Rand;1908;100;91
mdp.39015000636111;Lewis, Sinclair;Arrowsmith  ;Lewis, Sinclair;Arrowsmith;1925;100;91
mdp.39015063917689;Ertz, Susan;After noon, ;Ertz, Susan;After Noon;1926;100;91
uc1.$b802268;Parrish, Anne;To-morrow morning, ;Parrish, Anne;Tomorrow Morning;1927;100;91
yul.11345377_000_00;Deeping, Warwick;Exile ;Deeping, Warwick;Exile;1930;100;91
inu.32000006468898;Woolf, Virginia;The years ;Woolf, Virginia;The Years;1937;100;91
uc1.b4095385;Keyes, Frances Parkinson;Joy Street  ;Keyes, Frances Parkinson;Joy Street;1950;100;91
uc1.b4877325;Waltari, Mika;"The adventurer; ";Waltari, Mika;The Adventurer;1950;100;91
mdp.39015062494060;Winsor, Kathleen;Star money  ;Winsor, Kathleen;Star Money;1950;100;91
mdp.39015002725656;Ferber, Edna;Giant.;Ferber, Edna;Giant;1952;100;91
mdp.39015002725706;Ferber, Edna;Ice Palace  ;Ferber, Edna;Ice Palace;1958;100;91
uc1.32106005932378;Hailey, Arthur;Hotel.;Hailey, Arthur;Hotel;1965;100;91
pst.000027230794;Wilder, Thornton;The eighth day  ;Wilder, Thornton;The Eighth Day;1967;100;91
