titlemeta_ID	titlemeta_author	titlemeta_title	prize_author	prize_title	prize_date	ratio_author	ratio_title	docid	year
mdp.39015003681882	Galsworthy, John	On Forsyte 'change	Galsworthy, John	#matchall	1932	100	30	mdp.39015003681882	1930
mdp.39015003681304	Galsworthy, John	Maid in waiting	Galsworthy, John	#matchall	1932	100	25	mdp.39015003681304	1931
mdp.39015003681486	Galsworthy, John	Flowering wilderness	Galsworthy, John	#matchall	1932	100	14	mdp.39015003681486	1932
uc1.$b236260	Galsworthy, John	Over the river	Galsworthy, John	#matchall	1932	100	17	uc1.$b236260	1933
uc1.b3834423	Galsworthy, John	One more river	Galsworthy, John	#matchall	1932	100	9	uc1.b3834423	1933
mdp.39015003681494	Galsworthy, John	Forsytes, Pendyces and others	Galsworthy, John	#matchall	1932	100	16	mdp.39015003681494	1933
inu.32000007957246	Hamsun, Knut	Victoria	Hamsun, Knut	#matchall	1920	100	24	inu.32000007957246	1923
mdp.39015011590885	Hamsun, Knut	Segelfoss town	Hamsun, Knut	#matchall	1920	100	9	mdp.39015011590885	1925
mdp.39076006304096	Hamsun, Knut	Vagabonds	Hamsun, Knut	#matchall	1920	100	22	mdp.39076006304096	1930
mdp.39015005718278	Hersey, John	Into the valley; a skirmish of the marines	Hersey, John	A Bell for Adano	1945	100	31	mdp.39015005718278	1943
mdp.39015025036917	Hersey, John	A bell for Adano	Hersey, John	A Bell for Adano	1945	100	100	mdp.39015025036917	1944
inu.32000009374010	Hesse, Hermann	Steppenwolf	Hesse, Hermann	#matchall	1946	100	20	inu.32000009374010	1929
inu.30000005079904	Hesse, Hermann	Demian, the story of a youth	Hesse, Hermann	#matchall	1946	100	27	inu.30000005079904	1948
mdp.39015003744078	Hesse, Hermann	Peter Camenzind	Hesse, Hermann	#matchall	1946	100	25	mdp.39015003744078	1950
uc1.$b243329	Johnson, Josephine Winslow	Now in November	Johnson, Josephine Winslow	Now in November	1935	100	100	uc1.$b243329	1934
mdp.39015001619207	Johnson, Josephine Winslow	Winter orchard, and other stories	Johnson, Josephine Winslow	Now in November	1935	100	33	mdp.39015001619207	1935
uc1.$b243817	Johnson, Josephine Winslow	Jordanstown : a novel	Johnson, Josephine Winslow	Now in November	1935	100	50	uc1.$b243817	1937
mdp.39015013105476	Johnson, Josephine Winslow	Wildwood	Johnson, Josephine Winslow	Now in November	1935	100	26	mdp.39015013105476	1946
uc1.b4087559	La Farge, Oliver	Laughing Boy	Farge, Oliver La	Laughing Boy	1930	81	100	uc1.b4087559	1929
mdp.39015030700168	La Farge, Oliver	Sparks fly upward, a novel	Farge, Oliver La	Laughing Boy	1930	81	21	mdp.39015030700168	1931
uc1.$b103865	La Farge, Oliver	Long pennant, a novel	Farge, Oliver La	Laughing Boy	1930	81	30	uc1.$b103865	1933
uc1.32106002121884	La Farge, Oliver	All the young men; stories	Farge, Oliver La	Laughing Boy	1930	81	32	uc1.32106002121884	1935
mdp.39015014176641	La Farge, Oliver	The enemy gods	Farge, Oliver La	Laughing Boy	1930	81	27	mdp.39015014176641	1937
mdp.39015048883758	Lane, Margaret	At last the island	Wilson, Margaret	The Able McLaughlins	1924	80	41	mdp.39015048883758	1937
mdp.39015048883741	Lane, Margaret	Where Helen lies	Wilson, Margaret	The Able McLaughlins	1924	80	38	mdp.39015048883741	1944
uc1.$b536436	Lavin, Mary	Tales from Bective Bridge	Flavin, Martin	Journey in the Dark	1944	80	32	uc1.$b536436	1942
uc1.b4393840	Lavin, Mary	The house in Clewe Street	Flavin, Martin	Journey in the Dark	1944	80	50	uc1.b4393840	1945
uc1.$b106101	Lavin, Mary	At Sallygap	Flavin, Martin	Journey in the Dark	1944	80	20	uc1.$b106101	1947
mdp.39015000631294	Lavin, Mary	Mary O'Grady	Flavin, Martin	Journey in the Dark	1944	80	26	mdp.39015000631294	1950
uc2.ark+=13960=t05x25z6x	Lewis, Sinclair	Main street	Lewis, Sinclair	Arrowsmith	1926	100	29	uc2.ark+=13960=t05x25z6x	1920
uc2.ark+=13960=t05x25z6x	Lewis, Sinclair	Main street	Lewis, Sinclair	#matchall	1930	100	30	uc2.ark+=13960=t05x25z6x	1920
mdp.39015000636111	Lewis, Sinclair	Arrowsmith	Lewis, Sinclair	Arrowsmith	1926	100	100	mdp.39015000636111	1925
mdp.39015000636111	Lewis, Sinclair	Arrowsmith	Lewis, Sinclair	#matchall	1930	100	32	mdp.39015000636111	1925
uc1.b4091265	Lewis, Sinclair	Mantrap	Lewis, Sinclair	Arrowsmith	1926	100	24	uc1.b4091265	1926
uc1.b4091265	Lewis, Sinclair	Mantrap	Lewis, Sinclair	#matchall	1930	100	50	uc1.b4091265	1926
mdp.39015008361134	Lewis, Sinclair	Elmer Gantry	Lewis, Sinclair	Arrowsmith	1926	100	18	mdp.39015008361134	1927
mdp.39015008361134	Lewis, Sinclair	Elmer Gantry	Lewis, Sinclair	#matchall	1930	100	29	mdp.39015008361134	1927
mdp.39015048880846	Lewis, Sinclair	Dodsworth	Lewis, Sinclair	Arrowsmith	1926	100	42	mdp.39015048880846	1929
mdp.39015048880846	Lewis, Sinclair	Dodsworth	Lewis, Sinclair	#matchall	1930	100	22	mdp.39015048880846	1929
mdp.39015000636095	Lewis, Sinclair	Ann Vickers	Lewis, Sinclair	Arrowsmith	1926	100	29	mdp.39015000636095	1933
mdp.39015000636095	Lewis, Sinclair	Ann Vickers	Lewis, Sinclair	#matchall	1930	100	20	mdp.39015000636095	1933
mdp.39015008493556	Lewis, Sinclair	It can't happen here; a novel	Lewis, Sinclair	Arrowsmith	1926	100	15	mdp.39015008493556	1935
mdp.39015008493556	Lewis, Sinclair	It can't happen here; a novel	Lewis, Sinclair	#matchall	1930	100	26	mdp.39015008493556	1935
uc1.b3711262	Lewis, Sinclair	The prodigal parents : a novel	Lewis, Sinclair	Arrowsmith	1926	100	22	uc1.b3711262	1938
uc1.b3711262	Lewis, Sinclair	The prodigal parents : a novel	Lewis, Sinclair	#matchall	1930	100	23	uc1.b3711262	1938
mdp.39015002386103	Lewis, Sinclair	Bethel Merriday	Lewis, Sinclair	Arrowsmith	1926	100	24	mdp.39015002386103	1940
mdp.39015002386103	Lewis, Sinclair	Bethel Merriday	Lewis, Sinclair	#matchall	1930	100	25	mdp.39015002386103	1940
mdp.39015008361126	Lewis, Sinclair	Gideon Planish : a novel	Lewis, Sinclair	Arrowsmith	1926	100	18	mdp.39015008361126	1943
mdp.39015008361126	Lewis, Sinclair	Gideon Planish : a novel	Lewis, Sinclair	#matchall	1930	100	24	mdp.39015008361126	1943
mdp.39015048880945	Lewis, Sinclair	Cass Timberlane : a novel of husbands and wives	Lewis, Sinclair	Arrowsmith	1926	100	18	mdp.39015048880945	1945
mdp.39015048880945	Lewis, Sinclair	Cass Timberlane : a novel of husbands and wives	Lewis, Sinclair	#matchall	1930	100	14	mdp.39015048880945	1945
mdp.39015066057715	Lewis, Sinclair	Kingsblood royal	Lewis, Sinclair	Arrowsmith	1926	100	15	mdp.39015066057715	1947
mdp.39015066057715	Lewis, Sinclair	Kingsblood royal	Lewis, Sinclair	#matchall	1930	100	16	mdp.39015066057715	1947
mdp.39015005607828	Lewis, Sinclair	The God-seeker	Lewis, Sinclair	Arrowsmith	1926	100	20	mdp.39015005607828	1949
mdp.39015020680040	Mann, Thomas	Death in Venice	Mann, Thomas	#matchall	1929	100	25	mdp.39015020680040	1924
inu.30000041715560	Mann, Thomas	The magic mountain <Der zauberberg>	Mann, Thomas	#matchall	1929	100	20	inu.30000041715560	1927
