docid	novelty_1.0_25	novelty_0.05_25	transience_1.0_25	transience_0.05_25	resonance_1.0_25	resonance_0.05_25
uc1.b3347126	3.3980585954346902	1.821734651773327	3.085247920330579	1.5493574669967598	0.3128106751041111	0.27237718477656725
uc1.$b322688	3.135666239896563	1.5535444412654535	2.814363951281731	1.401104337890584	0.32130228861483223	0.15244010337486946
uc1.b3407035	3.8675549917866845	2.192431148398541	3.8129883051584006	2.240488189703724	0.0545666866282839	-0.048057041305182846
uc1.$b116192	3.1917069356841385	1.8298726505556555	3.215412402252533	1.8364187155364489	-0.023705466568394673	-0.0065460649807933535
mdp.39015059415383	2.7420980015870136	1.3133215517512955	2.462501894958429	1.2648695376599823	0.27959610662858436	0.04845201409131317
mdp.39015002756842	3.4264171189654173	1.9927672390613886	3.000090369684484	1.5518629669387645	0.4263267492809333	0.4409042721226242
umn.31951000955121j	3.35932884784644	1.9150039853773182	3.1430026635313824	1.7443514251370729	0.21632618431505746	0.17065256024024533
mdp.39015063945169	4.145933369264458	2.3645036400834774	4.204013255923786	2.4078793916350203	-0.058079886659327506	-0.04337575155154294
uc1.b3835561	3.334926615900027	1.916383844864038	3.315413563359582	1.8552086312913627	0.019513052540444775	0.0611752135726753
mdp.39015028779778	4.037553062565435	2.1968458527615087	4.172173609007702	2.289007720106315	-0.1346205464422674	-0.09216186734480614
mdp.39015003940890	3.1023330311861526	1.6344802050149048	2.882872177492052	1.6132369888018394	0.2194608536941005	0.021243216213065352
mdp.39015031233615	2.9886863774495738	1.8142231920821976	2.888106089304237	1.6707958686400526	0.10058028814533682	0.14342732344214504
mdp.39015005335552	3.068890737251488	1.707167373443313	2.9977011341683397	1.6292147113175335	0.07118960308314826	0.07795266212577956
uc1.b3688061	3.862591144866907	2.1264405623195133	3.7563175494154253	2.0757472677989903	0.10627359545148174	0.05069329452052296
mdp.39015003700278	3.304226701440399	1.85612512784429	3.2878974907979144	1.818406072001095	0.016329210642484604	0.037719055843195015
nyp.33433075727903	4.1282351846978935	2.116850072196423	4.399803936726676	2.4170312163092773	-0.2715687520287826	-0.30018114411285435
nyp.33433075766703	3.0586930809905324	1.6212279130434888	2.995296181153248	1.6262581858625689	0.06339689983728425	-0.005030272819080084
uc2.ark+=13960=t78s4ms1w	3.5733960434518646	2.0550820401320835	3.374280270931083	1.9137208065503097	0.1991157725207815	0.14136123358177377
uc1.$b312433	3.7457264295967456	1.860243669405806	3.916845401106268	1.9334974411122439	-0.1711189715095225	-0.07325377170643788
uc1.b3687470	2.967097809061926	1.4176042200590888	2.6242600927478326	1.3068633619286354	0.34283771631409365	0.11074085813045342
uc1.$b299914	3.1608098740375308	1.675332264005995	3.1625235886140968	1.7382467096709473	-0.0017137145765659945	-0.06291444566495219
mdp.39015063914587	3.2432161909021717	1.7533109353486165	2.848662821428888	1.6239023939041206	0.3945533694732837	0.12940854144449587
uc1.b4098677	4.330937435019549	2.3287573010242673	4.068442487997948	2.14030739635207	0.2624949470216009	0.18844990467219747
uc1.b4098794	3.5561058779818664	2.0783525073554223	3.7183413353179184	2.1467789767753005	-0.16223545733605205	-0.06842646941987818
mdp.39015063949740	2.8443784323862724	1.3878260102415494	2.640106960564785	1.4227490170591792	0.20427147182148753	-0.03492300681762983
uc2.ark+=13960=t6rx94z44	3.892519373794086	2.2138630536633808	3.2317660707631886	1.7057056109118045	0.6607533030308974	0.5081574427515763
mdp.39015002717083	3.2802761973208554	1.687234466090747	2.8861836176113957	1.5266392740491646	0.39409257970945966	0.16059519204158246
umn.31951002366312r	4.268154778770235	2.779324919251433	3.6366292530291457	2.0777847825242257	0.6315255257410892	0.7015401367272074
wu.89052490448	3.259237718134059	1.8914518851208084	3.1424642556151823	1.7999899390151055	0.11677346251887677	0.09146194610570291
uc1.$b105753	2.792130553312293	1.4320952509097213	2.9562393434905143	1.5559456701670333	-0.16410879017822122	-0.123850419257312
uc1.$b323021	3.215834734302427	1.7915770459341545	2.7893704724369415	1.4163136985574365	0.42646426186548547	0.37526334737671796
uc1.31822013290929	4.365012515874457	2.4138066687435495	4.146390400913716	2.318867073225465	0.21862211496074124	0.09493959551808473
