titlemeta_ID	titlemeta_author	titlemeta_title	bestseller_author	bestseller_title	bestseller_year	ratio_author	ratio_title	docid	year
uc1.b4384802	hurst, fannie	Back street	hurst, fannie	Back Street	1931	100	100	uc1.b4384802	1931
pst.000005375714	huxley, aldous	Eyeless in Gaza	huxley, aldous	Eyeless in Gaza	1936	100	100	pst.000005375714	1936
mdp.39015005366441	marks, percy	The plastic age	marks, percy	The Plastic Age	1924	100	100	mdp.39015005366441	1924
mdp.39015005776847	mitchell, margaret	Gone with the wind	mitchell, margaret	Gone with the Wind	1936	100	100	mdp.39015005776847	1936
mdp.39015005776847	mitchell, margaret	Gone with the wind	mitchell, margaret	Gone with the Wind	1937	100	100	mdp.39015005776847	1936
mdp.39015053592385	morgan, charles	The fountain	morgan, charles	The Fountain	1932	100	100	mdp.39015053592385	1932
mdp.39015053606771	morgan, charles	Sparkenbroke	morgan, charles	Sparkenbroke	1936	100	100	mdp.39015053606771	1936
uc1.b3456943	morley, christopher	Kitty Foyle	morley, christopher	Kitty Foyle	1939	100	100	uc1.b3456943	1939
uc1.b3456943	morley, christopher	Kitty Foyle	morley, christopher	Kitty Foyle	1940	100	100	uc1.b3456943	1939
mdp.39015066062418	remarque, erich maria	All quiet on the western front;	remarque, erich maria	All Quiet on the Western Front	1929	100	98	mdp.39015066062418	1928
uc1.32106008377712	remarque, erich maria	The road back	remarque, erich maria	The Road Back	1931	100	100	uc1.32106008377712	1931
mdp.39015032129218	remarque, erich maria	Arch of triumph	remarque, erich maria	Arch of Triumph	1946	100	100	mdp.39015032129218	1945
mdp.39015002717745	rinehart, mary roberts	The amazing interlude	rinehart, mary roberts	The Amazing Interlude	1918	100	100	mdp.39015002717745	1918
uc2.ark+=13960=t8rb6wt1j	rinehart, mary roberts	A poor wise man	rinehart, mary roberts	A Poor Wise Man	1921	100	100	uc2.ark+=13960=t8rb6wt1j	1920
mdp.39015002717943	rinehart, mary roberts	The breaking point	rinehart, mary roberts	The Breaking Point	1922	100	100	mdp.39015002717943	1922
mdp.39015002717943	rinehart, mary roberts	The breaking point	rinehart, mary roberts	The Breaking Point	1923	100	100	mdp.39015002717943	1922
mdp.39015007028577	roberts, kenneth lewis	Northwest passage	roberts, kenneth	Northwest Passage	1937	84	100	mdp.39015007028577	1937
mdp.39015007028577	roberts, kenneth lewis	Northwest passage	roberts, kenneth	Northwest Passage	1938	84	100	mdp.39015007028577	1937
mdp.39076006275957	roberts, kenneth lewis	Oliver Wiswell	roberts, kenneth	Oliver Wiswell	1940	84	100	mdp.39076006275957	1940
mdp.39076006275957	roberts, kenneth lewis	Oliver Wiswell	roberts, kenneth	Oliver Wiswell	1941	84	100	mdp.39076006275957	1940
mdp.39015002718461	roberts, kenneth lewis	Lydia Bailey	roberts, kenneth	Lydia Bailey	1947	84	100	mdp.39015002718461	1947
pst.000032352818	robinson, henry morton	The cardinal	robinson, henry morton	The Cardinal	1950	100	100	pst.000032352818	1950
pst.000032352818	robinson, henry morton	The cardinal	robinson, henry morton	The Cardinal	1951	100	100	pst.000032352818	1950
uc1.32106002139753	rawlings, marjorie kinnan	The yearling;	rawlings, marjorie kinnan	The Yearling	1938	100	94	uc1.32106002139753	1938
uc1.32106002139753	rawlings, marjorie kinnan	The yearling;	rawlings, marjorie kinnan	The Yearling	1939	100	94	uc1.32106002139753	1938
uc1.$b87076	caldwell, taylor	This side of innocence	caldwell, taylor	This Side of Innocence	1946	100	100	uc1.$b87076	1946
uc1.b3687497	carroll, gladys hasty	As the earth turns	carroll, gladys hasty	As the Earth Turns	1933	100	100	uc1.b3687497	1933
mdp.39015030728516	cather, willa	Shadows on the rock	cather, willa	Shadows on the Rock	1931	100	100	mdp.39015030728516	1931
mdp.39015030727955	chase, mary ellen	Mary Peters	chase, mary ellen	Mary Peters	1934	100	100	mdp.39015030727955	1934
mdp.39015030727997	chase, mary ellen	Windswept	chase, mary ellen	Windswept	1941	100	100	mdp.39015030727997	1941
mdp.39015030727997	chase, mary ellen	Windswept	chase, mary ellen	Windswept	1942	100	100	mdp.39015030727997	1941
mdp.39015059407935	connor, ralph	The sky pilot in no man's land	connor, ralph	The Sky Pilot in No Man's Land	1919	100	100	mdp.39015059407935	1919
mdp.39015054194546	ferber, edna	Show boat	ferber, edna	Show Boat	1926	100	100	mdp.39015054194546	1926
pst.000029585229	ferber, edna	Cimarron	ferber, edna	Cimarron	1930	100	100	pst.000029585229	1930
mdp.39015002725615	ferber, edna	Come and get it	ferber, edna	Come and Get It	1935	100	100	mdp.39015002725615	1935
uc1.b4097393	ferber, edna	Saratoga trunk	ferber, edna	Saratoga Trunk	1941	100	100	uc1.b4097393	1941
mdp.39015003341842	field, rachel	Time out of mind	field, rachel	Time Out of Mind	1935	100	100	mdp.39015003341842	1935
pst.000002027432	field, rachel	And now tomorrow	field, rachel	And Now Tomorrow	1942	100	100	pst.000002027432	1942
uc1.$b244184	fisher, dorothy canfield	The home-maker	fisher, dorothy canfield	The Homemaker	1924	100	95	uc1.$b244184	1924
