titlemeta_ID;titlemeta_author;titlemeta_title;prize_author;prize_title;prize_date;ratio_author;ratio_title
inu.32000004596575;Galsworthy, John;In chancery,  and Awakening ;Galsworthy, John;#matchall;1932;100;16
inu.32000004614279;Galsworthy, John;The man of property :  and Indian summer of a Forsyte  ;Galsworthy, John;#matchall;1932;100;13
mdp.39076005037937;Galsworthy, John;The white mon;Galsworthy, John;#matchall;1932;100;11
mdp.39015024848247;Hesse, Hermann;Rosshalde. ;Hesse, Hermann;#matchall;1946;100;30
mdp.39015008909916;Mann, Thomas;Nocturnes. ;Mann, Thomas;#matchall;1929;100;10
mdp.39015008819875;Hesse, Hermann;Knulp: three tales from the life of Knulp. ;Hesse, Hermann;#matchall;1946;100;19
mdp.39015003681387;Galsworthy, John;Jocelyn.;Galsworthy, John;#matchall;1932;100;24
mdp.39015005567352;Sillanpää, Frans Eemil;"Meek heritage;  a novel. ";Sillanpää, Frans Eemil;#matchall;1939;100;24
mdp.39015003344622;Faulkner, William;Flags in the dust  ;Faulkner, William;#matchall;1949;100;21
wu.89070976139;Hamsun, Knut;Mysteries  ;Hamsun, Knut;#matchall;1920;100;20
wu.89055736698;Undset, Sigrid;"Jenny;  a novel  ";Undset, Sigrid;#matchall;1928;100;15
pst.000060022042;Faulkner, William;Jealousy and Episode :  two stories  ;Faulkner, William;#matchall;1949;100;9
uc1.32106009365716;France, Anatole;The Gods will have blood :  (les Dieux ont soif)  ;France, Anatole;#matchall;1921;100;15
uc1.32106005808073;Hesse, Hermann;Six novels :  with other stories and essays  ;Hesse, Hermann;#matchall;1946;100;11
mdp.39015003344838;Faulkner, William;Sanctuary :  the original text  ;Faulkner, William;#matchall;1949;100;24
mdp.39015008833603;Faulkner, William;Father Abraham  ;Faulkner, William;#matchall;1949;100;32
mdp.39015012148030;Faulkner, William;Novels, 1930-1935  ;Faulkner, William;#matchall;1949;100;7
uc1.32106007217992;Faulkner, William;The Penguin collected storie;Faulkner, William;#matchall;1949;100;18
mdp.39015014616877;Faulkner, William;Light in August  ;Faulkner, William;#matchall;1949;100;15
mdp.39015066186092;Faulkner, William;Doctor Martino and other stories, holograph manuscripts and typescripts  ;Faulkner, William;#matchall;1949;100;12
mdp.39015012893981;Faulkner, William;Absalom, Absalom!, typescript setting copy and miscellaneous material  ;Faulkner, William;#matchall;1949;100;18
mdp.39015066186167;Faulkner, William;"""Unpublished"" stories, typescripts, and manuscripts  ";Faulkner, William;#matchall;1949;100;10
uc1.b4223471;Deledda, Grazia;La Madre :  (The woman and the priest), or, The mother  ;Deledda, Grazia;#matchall;1926;100;15
mdp.39015024659123;Deledda, Grazia;Cosima  ;Deledda, Grazia;#matchall;1926;100;24
mdp.39076002504426;Faulkner, William;Light in August :  the corrected text  ;Faulkner, William;#matchall;1949;100;12
