titlemeta_ID;titlemeta_author;titlemeta_title;prize_author;prize_title;prize_date;ratio_author;ratio_title
njp.32101072859349;Gide, André;Prometheus illbound, ;Gide, André;#matchall;1947;100;33
uc2.ark+=13960=t9g450491;Galsworthy, John;Awakening;Galsworthy, John;#matchall;1932;100;22
nyp.33433074855432;Galsworthy, John;In chancery.;Galsworthy, John;#matchall;1932;100;29
uc2.ark+=13960=t05x25z6x;Lewis, Sinclair;Main street;Lewis, Sinclair;#matchall;1930;100;30
mdp.39015037368027;France, Anatole;Little Pierre, ;France, Anatole;#matchall;1921;100;17
uc2.ark+=13960=t56d5sp11;Galsworthy, John;Tatterdemalion;Galsworthy, John;#matchall;1932;100;35
uiuo.ark+=13960=t17m0741m;Hamsun, Knut;Growth of the soil;Hamsun, Knut;#matchall;1920;100;22
njp.32101013486293;Galsworthy, John;Villa Rubein :  and other stor;Galsworthy, John;#matchall;1932;100;15
uc1.$b703820;France, Anatole;The seven wives of Blu;France, Anatole;#matchall;1921;100;7
nyp.33433074855234;Galsworthy, John;To let, ;Galsworthy, John;#matchall;1932;100;24
mdp.39015005343010;Lewis, Sinclair;Main Street,  the story of Carol Kennicott, ;Lewis, Sinclair;#matchall;1930;100;23
mdp.39015004895861;Hamsun, Knut;Pan  ;Hamsun, Knut;#matchall;1920;100;14
mdp.39015030372299;France, Anatole;Count Morin, deputy,;France, Anatole;#matchall;1921;100;14
mdp.39015030027752;Hamsun, Knut;Dreamers, ;Hamsun, Knut;#matchall;1920;100;11
mdp.39015030368404;France, Anatole;Monsieur Bergeret in Paris, ;France, Anatole;#matchall;1921;100;16
uiuo.ark+=13960=t6542nd49;France, Anatole;A mummer's tale;France, Anatole;#matchall;1921;100;33
uc2.ark+=13960=t3125sq2d;France, Anatole;Marguerite;France, Anatole;#matchall;1921;100;32
uc2.ark+=13960=t17m0gv5v;Hamsun, Knut;Mothwise;Hamsun, Knut;#matchall;1920;100;35
uc2.ark+=13960=t3zs2ns43;Hamsun, Knut;Wanderers;Hamsun, Knut;#matchall;1920;100;11
