Author;Clean_name;Google;Wiki_par;Wiki_natio;Wiki_link;Nationality
Marryat, Florence R. M. Church Lean;Marryat Florence R. M. Church Lean;;British;;https://en.wikipedia.org/wiki/Florence_Marryat;British
Thorn, Ismay;Thorn Ismay;;;;;
Molesworth, Mrs;Molesworth Mrs;;;;;
Hawthorne, Julian;Hawthorne Julian;;American;;https://en.wikipedia.org/wiki/Julian_Hawthorne;American
Heimburg, W;Heimburg W;German;German;;https://en.wikipedia.org/wiki/Berta_Behrens;German
Colvill, Helen Hester;Colvill Helen Hester;;;;;
Banks, G. Linnaeus (George Linnaeus), Mrs;George Linnaeus Banks;British;British;;https://en.wikipedia.org/wiki/George_Linnaeus_Banks;British
Ouida;Ouida;;English;English-French;https://en.wikipedia.org/wiki/Ouida;English-French
Queen;Queen;;Indian;;https://en.wikipedia.org/wiki/Queen_(2013_film);Indian
Fleming, May Agnes Early;Fleming May Agnes Early;;Canadian;Canadian;https://en.wikipedia.org/wiki/May_Agnes_Fleming;Canadian
Roe, Edward Payson;Roe Edward Payson;American;American;American;https://en.wikipedia.org/wiki/Edward_Payson_Roe;American
Dowling, Richard;Dowling Richard;;Irish;;https://en.wikipedia.org/wiki/Richard_Dowling_(writer);Irish
Leslie, Madeline;Leslie Madeline;American;American;;https://en.wikipedia.org/wiki/Harriette_Newell_Woods_Baker;American
Walford, Lucy Bethia;Walford Lucy Bethia;;Scottish;;https://en.wikipedia.org/wiki/Lucy_Bethia_Walford;Scottish
Tabor, Eliza;Tabor Eliza;;;;https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Abandoned_Drafts/Stale_drafts/Full/1;
Collins, Wilkie;Collins Wilkie;English;English;;https://en.wikipedia.org/wiki/Wilkie_Collins;English
Brame, Charlotte M;Brame Charlotte M;;English;;https://en.wikipedia.org/wiki/Charlotte_Mary_Brame;English
Zola, Émile;Zola Émile;;French;French;https://en.wikipedia.org/wiki/Émile_Zola;French
Ritchie, Anne Thackeray;Ritchie Anne Thackeray;English;English;;https://en.wikipedia.org/wiki/Anne_Isabella_Thackeray_Ritchie;English
Eaton, S. J. M. (Samuel John Mills);Samuel John Mills Eaton;;;;;
Mayo, Isabella (Fyvie);Fyvie Mayo;;Scottish;Scottish;https://en.wikipedia.org/wiki/Isabella_Fyvie_Mayo;Scottish
Garrigues, Adéle M;Garrigues Adéle M;;;;;
Wheeler, Edward L. [from old catalog];Wheeler Edward L. from old catalog;;;;;
Lee, Holme;Lee Holme;;;;;
Bailey, James Montgomery;Bailey James Montgomery;American;American;;https://en.wikipedia.org/wiki/James_Montgomery_Bailey;American
Griffis, William Elliot;Griffis William Elliot;;American;American;https://en.wikipedia.org/wiki/William_Elliot_Griffis;American
Reynolds, Michael;Reynolds Michael;;;;https://en.wikipedia.org/wiki/Michael_Reynolds;
Trevelyan, L. R, Mrs;Trevelyan L. R Mrs;;English;;https://en.wikipedia.org/wiki/R._C._Trevelyan;English
Hodder, Edwin;Hodder Edwin;;;;;
