Author;Clean_name;Google;Wiki_par;Wiki_natio;Wiki_link;Nationality
Auerbach, Berthold;Auerbach Berthold;German;German;;https://en.wikipedia.org/wiki/Berthold_Auerbach;German
Jones, Cecilia Anne;Jones Cecilia Anne;;;;;
Swinton, William;Swinton William;;;;;
Hamerton, Philip Gilbert;Hamerton Philip Gilbert;;British;;https://en.wikipedia.org/wiki/Philip_Gilbert_Hamerton;British
Oliphant, Laurence;Oliphant Laurence;;South African;;https://en.wikipedia.org/wiki/Laurence_Oliphant_(author);South African
[Munby, Arthur Joseph];Munby Arthur Joseph;;British;British;https://en.wikipedia.org/wiki/Arthur_Munby;British
Gautier, Théophile;Gautier Théophile;;French;;https://en.wikipedia.org/wiki/Théophile_Gautier;French
Kellogg, Elijah;Kellogg Elijah;;American;American;https://en.wikipedia.org/wiki/Elijah_Kellogg;American
Pomeroy, Mark M. (Mark Mills);Mark Mills Pomeroy;;;;;
Greey, Edward;Greey Edward;;;;https://en.wikipedia.org/wiki/The_Shape_of_Things_to_Come_(Lost);
Brown, John;Brown John;American;American;American;https://en.wikipedia.org/wiki/John_Brown_(American_author);American
Chaplin, Fannie P;Chaplin Fannie P;;American;;https://en.wikipedia.org/wiki/Fannie_Hurst;American
Munford, George Wythe;Munford George Wythe;;;;;
Brookfield, Arthur Montagu;Brookfield Arthur Montagu;;Conservative;;https://en.wikipedia.org/wiki/Arthur_Montagu_Brookfield;Conservative
Tiffany, Francis;Tiffany Francis;;;;;
Grant, Maria M;Grant Maria M;;;;;
Malet, Lucas;Malet Lucas;;Victorian;;https://en.wikipedia.org/wiki/Lucas_Malet;Victorian
Hoffmann, Franz;Hoffmann Franz;;German;;https://en.wikipedia.org/wiki/Georg_Franz_Hoffmann;German
Macchetta, Blanche Roosevelt Tucker, Mrs;Macchetta Blanche Roosevelt Tucker Mrs;;American;;https://en.wikipedia.org/wiki/Blanche_Roosevelt;American
Scudder, Horace Elisha;Scudder Horace Elisha;American;American;;https://en.wikipedia.org/wiki/Horace_Scudder;American
Beasley, C. Oscar;Beasley C. Oscar;;;;;
Hale, Edward Everett, Sr;Hale Edward Everett Sr;;American;;https://en.wikipedia.org/wiki/Edward_Everett_Hale;American
Pedroso, Consiglieri;Pedroso Consiglieri;Portuguese;Portuguese;;https://en.wikipedia.org/wiki/Zófimo_Consiglieri_Pedroso;Portuguese
comte de, Gobineau, Arthur;comte de Gobineau Arthur;French;French;French;https://en.wikipedia.org/wiki/Arthur_de_Gobineau;French
Thomas, Annie;Thomas Annie;;English;British;https://en.wikipedia.org/wiki/Annie_Hall_Cudlip;British
Talbot, Thomas;Talbot Thomas;;Protestant;;https://en.wikipedia.org/wiki/Thomas_Talbott;Protestant
Eggleston, George Cary;Eggleston George Cary;American;American;;https://en.wikipedia.org/wiki/George_Cary_Eggleston;American
Bunbury, Selina;Bunbury Selina;;Anglo;;https://en.wikipedia.org/wiki/Selina_Bunbury;Anglo
Springer, Narcissa Smith;Springer Narcissa Smith;;;;;
Lytton, Edward Robert Bulwer Lytton;Lytton Edward Robert Bulwer Lytton;;English;;https://en.wikipedia.org/wiki/Edward_Bulwer-Lytton;English
Thompson, Maurice;Thompson Maurice;American;American;;https://en.wikipedia.org/wiki/Maurice_Thompson;American
Switzer, Jennie Bartlett;Switzer Jennie Bartlett;;;;;
Colomb;Colomb;;Swiss;;https://en.wikipedia.org/wiki/Catherine_Colomb;Swiss
Clark, Charles Heber;Clark Charles Heber;;American;;https://en.wikipedia.org/wiki/Charles_Heber_Clark;American
Pyrnelle, Louise Clarke;Pyrnelle Louise Clarke;;;;https://en.wikipedia.org/wiki/Louise_Clarke_Pyrnelle;
Holland, Frederic May;Holland Frederic May;;German;German;https://en.wikipedia.org/wiki/Karl_May;German
King, Richard Ashe;King Richard Ashe;;American;;https://en.wikipedia.org/wiki/King_Richard_(film);American
